name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,predicted_price
Mahindra Renault Logan 1.5 DLX Diesel,2007,175000,99000,Diesel,Individual,Manual,Second Owner,19.2,1461,65.0,5,-3653706608.6020646
Tata Tiago 1.2 Revotron XZ,2018,450000,5000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,293575926.13235635
Chevrolet Optra Magnum 2.0 LT,2008,210000,90000,Diesel,Individual,Manual,Fourth & Above Owner,16.52,1991,123.7,5,-3209501571.636775
Tata Indica V2 DLS TC,2006,110000,88000,Diesel,Individual,Manual,Second Owner,16.8,1405,62.0,5,-3195694637.9602065
Maruti Swift Dzire VDI,2015,480000,30000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,-759822039.2330221
Maruti Swift Dzire AMT ZDI,2016,650000,50000,Diesel,Individual,Automatic,Second Owner,26.59,1248,74.0,5,-1603095393.5051787
Maruti Swift Dzire VDI,2013,480000,80000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,-2868566487.849113
Hyundai i20 Asta Option 1.4 CRDi,2016,700000,40000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,-1163536249.7169178
Maruti Ertiga VDI,2015,650000,110000,Diesel,Individual,Manual,Third Owner,20.77,1248,88.76,7,-4129263463.7583394
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2015,1300000,48000,Diesel,Individual,Manual,Second Owner,19.67,1582,126.2,5,-1473701781.9640417
Volkswagen Jetta 2.0L TDI Highline AT,2016,1350000,97000,Diesel,Individual,Automatic,First Owner,16.96,1968,138.03,5,-3501436129.8852897
Volkswagen Vento 1.5 TDI Highline AT,2016,1000000,60000,Diesel,Individual,Automatic,First Owner,22.15,1498,108.6,5,-1992254462.3322878
Mercedes-Benz M-Class ML 350 4Matic,2011,1700000,110000,Diesel,Individual,Automatic,Third Owner,0.0,2987,165.0,5,-3949156410.345431
Toyota Yaris V CVT BSIV,2018,1080000,12800,Petrol,Individual,Automatic,First Owner,17.8,1496,105.5,5,-1977122.5840606142
Hyundai EON D Lite,2012,170000,40000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,-1226228489.0258667
Maruti Swift DDiS VDI,2017,610000,49000,Diesel,Individual,Manual,First Owner,28.4,1248,74.0,5,-1560892254.8282743
Maruti Ritz VXi,2014,350000,25000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5,-549856114.504774
Fiat Linea 1.3 Multijet Emotion,2015,700000,20000,Diesel,Individual,Manual,First Owner,20.4,1248,91.7,5,-332719201.45113784
Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,2018,678000,17000,Petrol,Individual,Manual,First Owner,18.78,999,75.0,5,-232706345.77622065
Toyota Etios GD,2014,400000,120000,Diesel,Individual,Manual,Second Owner,23.59,1364,67.04,5,-4546675268.172862
Hyundai i20 Magna,2010,300000,49000,Petrol,Individual,Manual,First Owner,18.5,1197,80.0,5,-1564335515.3277419
Hyundai i20 2015-2017 Magna 1.2,2016,520000,29000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,-719271535.125543
Nissan Terrano XV D Premium AMT,2017,850000,55000,Diesel,Individual,Automatic,First Owner,19.61,1461,108.5,5,-1784376751.8427434
Tata Nexon 1.5 Revotorq XZ Plus,2017,830000,35000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5,-937807849.2339803
Datsun GO T Option BSIV,2018,430000,5000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5,289109730.7227978
Ford EcoSport 1.5 TDCi Platinum Edition BSIV,2017,850000,60000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,-1994860623.5751708
Maruti Swift Dzire ZXI,2017,650000,70000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,-2448011385.518189
Hyundai Verna CRDi,2008,120000,120000,Diesel,Individual,Manual,Second Owner,16.8,1493,110.0,5,-4523727525.484517
Mahindra TUV 300 T8,2016,730000,65100,Diesel,Individual,Manual,Second Owner,18.49,1493,100.0,7,-2209972937.162455
Maruti Ignis 1.2 AMT Delta BSIV,2019,525000,20000,Petrol,Individual,Automatic,First Owner,20.89,1197,81.8,5,-339363227.06236035
Hyundai i20 Active 1.4 SX,2015,600000,108000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5,-4031366054.653001
Maruti Swift LXI,2019,500000,15000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,-128525969.94027539
Hyundai Santro Xing GLS,2009,150000,77000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5,-2760299965.9876933
Maruti Wagon R VXI BS IV,2015,409999,18500,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,-298939277.8829879
Renault KWID RXT,2015,290000,15200,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,-182015424.54132673
Honda Mobilio V i VTEC,2015,500000,35000,Petrol,Individual,Manual,First Owner,17.3,1497,117.3,7,-935554345.0784564
Hyundai Verna 1.6 SX,2011,475000,80000,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5,-2824172567.7301865
Hyundai EON Era Plus,2013,190000,70000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,-2491231275.2605743
Mahindra XUV500 W6 2WD,2014,750000,80000,Diesel,Individual,Manual,Second Owner,15.1,2179,140.0,7,-2765133059.6035204
Nissan Terrano XV 110 PS,2014,525000,120000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.5,5,-4526123103.197179
Chevrolet Cruze LTZ,2012,495000,82000,Diesel,Individual,Manual,Third Owner,17.3,1998,163.7,5,-2859863719.4064846
Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5,-185916161.76143974
Tata Safari Storme EX,2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,-4027877864.406974
Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969,190.0,5,-239343713.53839907
Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998,67.05,5,-1979713972.6604092
Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74.0,5,-1131172997.5835435
Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5,-1876678872.9256768
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494,100.6,7,-2718944181.304438
Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,5,266946275.2387749
Toyota Etios VX,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,5,-543861882.8422074
Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22.0,1197,81.8,5,-2438970923.999505
Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186,73.97,5,-1873599144.4322724
BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5,290286031.56099814
BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5,248113088.36474308
Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199,88.76,5,209783539.6600882
Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,5,510107214.56092805
Honda City 1.5 V AT,2010,321000,60000,Petrol,Individual,Automatic,Second Owner,16.8,1497,118.0,5,-1990427747.775217
Toyota Etios Liva 1.2 V Dual Tone,2017,585000,50000,Petrol,Individual,Manual,First Owner,17.71,1197,78.9,5,-1605443032.5932312
Ford Figo Diesel EXI,2011,225000,70000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,-2434832630.176404
Honda Amaze E i-DTEC,2017,500000,70000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5,-2416847320.8770585
Hyundai i20 1.4 CRDi Asta,2011,350000,90000,Diesel,Individual,Manual,Third Owner,23.0,1396,90.0,5,-3272802991.734425
Maruti Ertiga SHVS LDI Option,2016,756000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7,-2442553138.835514
Maruti Alto 800 VXI,2014,240000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,-1651524966.68305
Maruti Omni 8 Seater BSII,2012,80000,120000,Petrol,Individual,Manual,Second Owner,19.7,796,35.0,8,-4607321082.400116
Hyundai i20 Active S Petrol,2019,800000,5000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5,293564828.3425906
Tata Hexa XE,2018,1250000,25000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7,-442921495.0388492
Mahindra Scorpio VLS 2.2 mHawk,2009,320000,80000,Diesel,Individual,Manual,Third Owner,12.05,2179,120.0,7,-2771270357.861636
Hyundai Grand i10 Sportz,2017,509999,25000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,-550373487.8964856
Maruti Alto LXi,2008,110000,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,-2917839034.688318
Volkswagen Ameo 1.5 TDI Comfortline,2017,555000,52000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5,-1654637889.263921
Volkswagen Ameo 1.5 TDI Comfortline,2017,560000,52000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5,-1654637889.263921
Mahindra KUV 100 mFALCON D75 K6 Plus,2016,375000,80000,Diesel,Individual,Manual,First Owner,25.32,1198,77.0,6,-2871970398.411351
Honda WR-V i-VTEC VX,2017,720000,30000,Petrol,Individual,Manual,First Owner,17.5,1199,88.7,5,-759103339.9766697
Maruti Ertiga SHVS ZDI Plus,2017,800000,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,-2442367629.1825686
Mahindra XUV500 W10 2WD,2017,1325000,54000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7,-1668157235.5835245
Tata New Safari DICOR 2.2 VX 4x2 BS IV,2011,240000,120000,Diesel,Individual,Manual,First Owner,13.93,2179,138.1,7,-4453026709.346926
Ford Figo 1.5D Trend MT,2016,377000,80000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,5,-2838655407.415703
Maruti Ertiga VXI,2013,450000,140000,Petrol,Individual,Manual,First Owner,16.02,1373,93.7,7,-5381701867.536128
Hyundai Verna Xi (Petrol),2008,160000,100000,Petrol,Individual,Manual,Fourth & Above Owner,13.9,1599,103.2,5,-3672245251.6640964
Hyundai Xcent 1.2 VTVT E,2019,525000,100000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,-3713117911.6598053
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,550000,168000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,8,-6458546773.130505
Chevrolet Cruze LTZ,2010,270000,120000,Diesel,Individual,Manual,Third Owner,18.3,1991,147.9,5,-4467851112.756275
Toyota Etios GD,2016,570000,145000,Diesel,Individual,Manual,Second Owner,23.59,1364,67.05,5,-5600625093.039726
Ford Figo Diesel Titanium,2011,225000,90000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.0,5,-3278291494.1015058
Hyundai Xcent 1.2 VTVT S,2019,590000,90000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,-3291388479.697254
Jeep Compass 2.0 Longitude Option BSIV,2018,1675000,80000,Diesel,Individual,Manual,First Owner,17.1,1956,170.0,5,-2776481688.292999
Ford Aspire Titanium BSIV,2019,800000,33000,Petrol,Dealer,Manual,First Owner,19.4,1194,94.93,5,-884164299.8517597
Chevrolet Sail 1.2 LS ABS,2014,450000,13500,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,5,-65589884.63396571
Tata Indigo LX,2012,300000,80000,Diesel,Individual,Manual,First Owner,17.0,1405,70.0,5,-2855026609.3614683
Hyundai i20 1.2 Spotz,2017,645000,20000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,-339529536.7063019
Maruti Swift Dzire VDI,2013,520000,58000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,-1940761737.5315006
Honda City i VTEC V,2015,700000,30000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5,-724554890.3373965
Maruti 800 AC,2000,45000,50000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,-1656298476.300642
Ford Figo Aspire 1.5 TDCi Ambiente,2016,459999,73000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,5,-2543444805.0419173
Maruti Ritz VDi,2014,325000,90000,Diesel,Individual,Manual,Second Owner,23.2,1248,73.94,5,-3290109662.77346
Maruti Wagon R VXI BS IV,2015,350000,50000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5,-1627386988.5650237
Hyundai Verna 1.6 CRDI,2011,440000,80000,Diesel,Individual,Manual,Third Owner,22.32,1582,126.3,5,-2824178039.1974316
Hyundai i20 1.4 CRDi Magna,2011,320000,70000,Diesel,Individual,Manual,Second Owner,21.9,1396,90.0,5,-2429249737.9808564
Chevrolet Spark 1.0 LS,2011,169000,41000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5,-1250008652.527049
Volkswagen Polo Petrol Comfortline 1.2L,2013,350000,50000,Petrol,Individual,Manual,Fourth & Above Owner,16.47,1198,73.9,5,-1607355640.0043907
Ford Classic 1.4 Duratorq Titanium,2014,350000,113226,Diesel,Dealer,Manual,First Owner,19.68,1399,67.0,5,-4257489858.321953
Ford Figo Diesel Celebration Edition,2013,310000,90000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.1,5,-3277893117.45939
Mahindra Scorpio M2DI,2010,420000,160500,Diesel,Individual,Manual,Fourth & Above Owner,13.5,2179,115.0,5,-6167355745.620914
Maruti Ciaz AT ZXi,2015,685000,30000,Petrol,Individual,Automatic,First Owner,19.12,1373,91.1,5,-743141075.4291586
Renault Duster 4x4,2014,560000,132000,Diesel,Individual,Manual,Second Owner,19.72,1461,108.45,5,-5032273024.564181
Maruti Swift VDI,2013,470000,120000,Diesel,Individual,Manual,Third Owner,22.9,1248,74.0,5,-4555441311.231832
Hyundai Verna Transform VTVT,2011,380000,80000,Petrol,Individual,Manual,Second Owner,16.2,1599,103.2,5,-2828427219.33059
Mahindra Scorpio 1.99 S6 Plus,2015,670000,57000,Diesel,Individual,Manual,Second Owner,15.4,1997,120.0,7,-1817009944.0810626
Hyundai Verna 1.6 VTVT SX,2016,749000,25000,Petrol,Individual,Manual,First Owner,17.01,1591,121.3,5,-503832782.112557
Hyundai Creta 1.6 CRDi SX Option,2015,899000,80000,Diesel,Individual,Manual,Second Owner,19.67,1582,126.2,5,-2823235964.244205
Chevrolet Optra Magnum 2.0 LS BSIII,2011,290000,88000,Diesel,Individual,Manual,Third Owner,16.52,1991,123.7,5,-3124599156.2854295
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,869999,217000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,7,-8524792107.366325
Datsun GO Plus A,2015,350000,60000,Petrol,Individual,Manual,First Owner,20.62,1198,67.0,7,-2031101135.5940003
Maruti Swift Dzire VXI,2017,500000,43000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,-1309341919.219301
Skoda Rapid 1.5 TDI AT Ambition Plus,2014,400000,77000,Diesel,Individual,Automatic,Second Owner,21.66,1498,103.6,5,-2710891336.4076414
Renault KWID RXT,2016,260000,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,-805989474.192957
Maruti Alto 800 LXI,2015,220000,40000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5,-1229610025.0675535
Chevrolet Enjoy TCDi LS 8 Seater,2014,190000,139000,Diesel,Individual,Manual,Second Owner,18.2,1248,73.8,8,-5356408114.465747
Hyundai Grand i10 Magna,2016,400000,80000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,-2870070873.343461
Chevrolet Beat Diesel LT Option,2014,170000,76000,Diesel,Individual,Manual,Second Owner,25.44,936,56.3,5,-2733065723.0968947
Maruti 800 AC BSIII,2007,60000,62000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,-2161075227.085086
Tata New Safari 4X2,2007,300000,110000,Petrol,Individual,Manual,Second Owner,12.0,2092,127.0,7,-4042818228.2019887
Chevrolet Spark 1.0 LT,2012,125000,40000,Petrol,Individual,Manual,Second Owner,16.2,995,62.1,5,-1207468386.2586772
Mahindra XUV500 W6 2WD,2012,500000,1500000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,-62651083417.59165
Maruti Alto LX,2011,170000,70000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,5,-2495553073.7669315
Maruti Swift Dzire LDi,2012,310000,77000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,-2741908708.616141
Chevrolet Spark 1.0 LT,2011,130000,110000,Petrol,Individual,Manual,Second Owner,18.0,995,62.0,5,-4159941733.068651
Maruti Wagon R VXI Optional,2016,465000,20000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,-362013183.0244252
Mercedes-Benz E-Class E270 CDI,2005,800000,120005,Diesel,Individual,Automatic,Second Owner,11.0,2987,198.5,5,-4363988955.590849
Maruti Alto K10 Knightracer,2012,260000,16830,Petrol,Individual,Manual,First Owner,20.2,998,67.1,5,-229023976.5325018
Mahindra Bolero 2011-2019 DI NON AC BS III SILVER,2013,500000,70000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9,-2333603544.737498
Renault KWID 1.0 RXT 02 Anniversary Edition,2017,325000,38000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,-1121075221.2434661
Mahindra Bolero 2011-2019 DI NON AC BS III White,2013,400000,80000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9,-2755332976.7000484
Toyota Fortuner 2.8 4WD MT BSIV,2018,3200000,50000,Diesel,Individual,Manual,First Owner,14.24,2755,174.5,7,-1437335167.290228
Tata Indica V2 DLE BSIII,2007,200000,50000,Diesel,Individual,Manual,First Owner,17.88,1396,52.8,5,-1596364889.8247464
Mahindra Quanto C2,2013,450000,52000,Diesel,Individual,Manual,First Owner,17.21,1493,100.0,7,-1657954074.8135874
Tata Indigo V BSIII,2012,229999,50000,Diesel,Individual,Manual,First Owner,17.0,1405,70.0,5,-1589838313.4738157
Hyundai EON Magna Plus,2016,340000,30000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,-803757018.4515347
Mahindra Bolero 2011-2019 SLE BSIII,2014,550000,103000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,-3725228056.9337163
Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969,190.0,5,-239343713.53839907
Volkswagen Jetta 1.6 Trendline,2010,225000,80000,Petrol,Individual,Manual,Second Owner,14.0,1595,102.0,5,-2829115817.0913873
Ford Endeavour 3.2 Titanium AT 4X4,2018,3250000,12000,Diesel,Individual,Automatic,First Owner,10.91,3198,197.0,7,211944273.6783828
Tata Indigo eCS VX BSIV,2013,280000,70000,Diesel,Individual,Manual,First Owner,25.0,1396,69.0,5,-2434889766.9806743
Honda Amaze V Petrol BSIV,2019,700000,4500,Petrol,Individual,Manual,First Owner,19.5,1199,88.76,5,316522527.365521
Tata Indigo CS eLX BS IV,2012,259000,35000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,5,-958853221.1627997
Toyota Fortuner 2.8 4WD AT BSIV,2018,3200000,60000,Diesel,Individual,Automatic,First Owner,15.04,2755,174.5,7,-1859133246.400755
Mahindra XUV500 W10 1.99 mHawk,2018,1400000,30000,Diesel,Individual,Manual,First Owner,16.0,1997,140.0,7,-672363966.9392722
Ford Figo 1.5P Titanium AT,2015,416000,40000,Petrol,Individual,Automatic,First Owner,17.01,1499,110.4,5,-1147956723.149809
Tata Manza ELAN Quadrajet BS III,2011,250000,70000,Diesel,Individual,Manual,First Owner,19.0,1248,90.0,5,-2442453342.0825458
Tata Manza Aura (ABS) Quadrajet BS IV,2010,210000,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5,-4551796214.5250845
Mahindra Scorpio VLX 2WD BSIII,2008,290000,120000,Diesel,Individual,Manual,Second Owner,12.05,2179,120.0,8,-4458445255.191427
Tata Indigo CS eLS BS IV,2012,220000,90000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,5,-3278365096.95683
Maruti Omni E MPI STD BS IV,2018,260000,30000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,-810613149.5978734
Hyundai Creta 1.4 CRDi S,2018,1050000,70000,Diesel,Individual,Manual,First Owner,21.38,1396,88.7,5,-2428262195.1349826
Tata Manza Club Class Quadrajet90 LX,2012,290000,60000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,5,-2021050965.4848814
Tata Indigo eCS VX BSIV,2013,310000,70000,Diesel,Individual,Manual,First Owner,25.0,1396,69.0,5,-2434889766.9806743
Hyundai i20 1.2 Asta,2018,700000,6000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,251077177.6942148
Maruti Swift VXI Optional,2016,550000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,-339877709.64306086
Tata Indigo CS LX (TDI) BS-III,2017,450000,70000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,-2432819807.4369087
Honda City i VTEC VX,2016,773000,65000,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5,-2200456716.1273675
Tata Tiago 1.2 Revotron XZ,2017,450000,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,-550068447.4456909
Maruti Eeco 5 Seater AC BSIV,2019,409999,10000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,80341529.70088303
Nissan Teana XL,2014,600000,80000,Petrol,Individual,Automatic,Second Owner,11.07,2496,179.5,5,-2725024088.5241923
Chevrolet Beat LT,2010,250000,63000,Petrol,Individual,Manual,First Owner,18.6,1199,79.4,5,-2154747655.12112
Tata Indica V2 DLS TC,2008,70000,100000,Diesel,Individual,Manual,First Owner,16.8,1405,62.0,5,-3701398937.009377
Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5,450840845.89463675
Audi Q5 35TDI Premium Plus,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188.0,5,-737723043.71856
Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5,-185916161.76143974
Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5,-1294982044.3678303
Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,5,60768289.96621508
Toyota Yaris V BSIV,2018,1000000,4295,Petrol,Trustmark Dealer,Manual,First Owner,17.1,1496,105.5,5,356763825.55456805
Toyota Yaris V BSIV,2018,1000000,5229,Petrol,Trustmark Dealer,Manual,First Owner,17.1,1496,105.5,5,317374296.6092658
Maruti Ciaz 1.3 Alpha,2018,925000,23712,Diesel,Trustmark Dealer,Manual,First Owner,28.09,1248,88.5,5,-490243943.1059288
Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5,-1876678872.9256768
Maruti Wagon R VXI BS IV,2018,430000,16589,Petrol,Trustmark Dealer,Manual,First Owner,20.51,998,67.04,5,-217790254.4761085
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494,100.6,7,-2718944181.304438
Honda City i VTEC V,2016,675000,53201,Petrol,Trustmark Dealer,Manual,Second Owner,17.8,1497,117.3,5,-1702858159.3547537
Maruti Baleno Delta,2017,570000,25272,Petrol,Trustmark Dealer,Manual,First Owner,21.01,1197,81.8,5,-562080299.9711041
Maruti Vitara Brezza ZDi Plus,2017,850000,53619,Diesel,Trustmark Dealer,Manual,First Owner,24.3,1248,88.5,5,-1751370449.0657387
BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5,290286031.56099814
Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199,88.76,5,209783539.6600882
Ford Ecosport 1.5 Petrol Ambiente,2018,640000,6001,Petrol,Dealer,Manual,First Owner,15.9,1496,120.69,5,289075334.5563356
Tata Indigo CS LS (TDI) BS-III,2013,250000,80000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,-2855291278.0112405
Renault Duster 110PS Diesel RxZ,2018,1250000,12000,Diesel,Individual,Manual,First Owner,19.6,1461,108.45,5,29232494.6704083
Hyundai i20 2015-2017 Asta Option 1.4 CRDi,2017,750000,40000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5,-1163350740.0639725
Maruti Swift Ldi BSIV,2010,320000,130000,Diesel,Individual,Manual,Third Owner,17.8,1248,75.0,5,-4977016073.222619
Skoda Yeti Ambition 4WD,2011,600000,202000,Diesel,Individual,Manual,First Owner,17.67,1968,138.08,5,-7930569959.432518
Maruti Ciaz S 1.3,2018,1000000,40000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5,-1177156841.8865318
Maruti Zen LX,2000,110000,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60.0,5,-2475733481.7359133
Honda City 2017-2020 GXi,2008,250000,120000,Petrol,Individual,Manual,Second Owner,17.7,1497,78.0,5,-4532195521.387984
Maruti Swift Dzire VDI,2015,600000,60000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,-2025010335.120675
Maruti Alto LXi,2006,120000,120000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5,-4605127781.844413
Maruti 800 Std MPFi,2003,65000,90000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796,37.0,4,-3342659675.19201
Maruti Alto LX,2006,150000,100000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,-3761668917.9193106
Hyundai Accent VIVA CRDi,2004,170000,160000,Diesel,Individual,Manual,Third Owner,13.1,1493,82.0,5,-6218729853.030182
Hyundai Accent CRDi,2005,100000,100000,Diesel,Individual,Manual,Third Owner,13.1,1493,82.0,5,-3688167751.60193
Maruti Ertiga VDI,2013,599000,60000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,-2020987323.251475
Chevrolet Cruze LTZ,2010,250000,135000,Diesel,Individual,Manual,Third Owner,18.3,1991,147.9,5,-5100445260.700102
Maruti Swift VXI Optional,2016,570000,90000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,-3291983733.3809175
Volkswagen Polo Diesel Highline 1.2L,2013,440000,75000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,5,-2662068855.01408
Toyota Innova 2.5 E Diesel MS 7-seater,2005,300000,185000,Diesel,Individual,Manual,Second Owner,11.4,2494,100.6,7,-7176791075.756066
Nissan Micra XV CVT,2015,300000,71717,Petrol,Individual,Automatic,Second Owner,19.34,1198,76.0,5,-2522526195.6742063
Mahindra Scorpio VLX 2WD ABS AT BSIII,2011,500000,150000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8,-5723054711.7971525
Maruti Swift Dzire VDI,2016,660000,55000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,-1813960109.4864542
